,text
113,@B_King29 @BloombergNews when did he diss me? I think you misinterpreted what he said.
114,@Maaaathew_S @BloombergNews @kanyewest actually Bloomberg are the idiots. That was not directed at me. They are just driving click bait.
115,"@B_King29 Yes, I now realize that came from @BloombergNews who decided to make something up to drive traffic."
116,@geschehaas @nikkidurkin99 nice post!
117,"Here is the entire talk at Cannes with me, @SteveStoute and @kanyewest. http://t.co/aF8rP2ls9B"
118,@arankin @TheRapTest @a16z The story is a little different than that: http://t.co/vKzoREMo0p
119,@drewisnice @RADCIRCLE @kanyewest Way!
120,Great story on @4thlettermusic http://t.co/3h19gRwuN7 He is the modern Jean Valjean. It's an honor to know him.
121,@charlesjo @kcfaul @StartupLJackson @a16z @pmarca @BenedictEvans @cdixon @balajis @adamcarolla what are you from Seattle or something?
122,@Jason you have to watch it to the end. That's not crack!
123,@RaviMikkelsen @Jason Great to see Divine Ayatollah getting some publicity. He is the modern Jean Valjean http://t.co/3h19gRwuN7
124,@RaviMikkelsen @Jason I am adding @4thlettermusic in because he'll want to hear that. Real hip hop!!
125,@Jason @RaviMikkelsen from crack to rap to corner offices!
126,@hiphopchess No doubt! The RZA!
127,@timersen @Alexcusack @GLIDEsf @pmarca it's a little bit of a misquote. I was talking about Glide being a model not churches.
128,"@Teemu @Alexcusack @pmarca @GLIDEsf I was referring to Glide not churches. If you've been to Glide, you would not categorize it as a church"
129,Nice story on @GLIDEsf event with @LarsLuv + great photo of @FelicaHorowitz http://t.co/kiIIa2r44s
130,"@Marinperez @pmarca @LarsLuz @GLIDEsf  If you do, you will see my wife @FelicaHorowitz"
131,"@Kazanjy sadly, that's a big market!"
132,@PynkbookAmy I hope he likes it!
133,@sean_a_rose The Documentary is definitely the best. I personally think L.A.X. is underrated.
134,@hiphopchess @fluxresearch Yes sir!
135,@JDcarlu Yes
136,"@JDcarlu @pmarca @finkd It wasn't a real argument, but no question that @finkd would have won if it was regarding FB and @pmarca if a16z"
137,"@joshwhiton As @divine says: ""The hard thing about hard things . . . Aint nuthin' easy"": http://t.co/fXefdBhLy5"
138,"@kourtneyratliff i have a few coming very soon. Just need to finish up some things, but next week for sure."
139,@JDcarlu probably not true
140,"@JDcarlu interesting theory, but not that personal in reality. Opsware sale was strictly business and not about me."
141,@nickz34 @robcolbert @brendaniribe They've actually solved the nausea problem at this point.
142,@SolfromBrooklyn Stay strong!!
143,"@kbsolve two separate things. In 1:1s, the employee should do 90% of the talking. Always OK to give feedback, but that's not that meeting."
144,http://t.co/PpEcxGcS3U
145,A great thrill to interview the incomparable Larry Page at Allen &amp; Co. http://t.co/p6o3FVDooh
146,"@ScottTaylor No, unfortunately, they do not put those online."
147,@AaronKlein @pmarca coming very soon!
148,THANKS @WarrenBuffett @BillGates &amp; Sheldon Adelson for supporting much needed immigration reform!!! http://t.co/IE68hmdDd3
149,From @RapGenius to Genius: http://t.co/YY6nzRPkqi
150,"@nickterzo @RapGenius yes, hence ""from rapgenius to genius"""
151,@arjunblj @pmarca @RapGenius no diggity no doubt!
152,. @jblukin @lilvanpeebles Done!!! http://t.co/TEnGVfqbLA
153,Who do you think will prevail @MurdaMookez or @iAmLoadedLux?
154,@GloveDotCom @iAmLoadedLux did you see Murda Mook take out Iron Solomon? Brutal.
155,@MCHammer @FelicaHorowitz thanks Hammer!!!
156,@yostar @BraeMan I appreciate that!!ll Thank you!
157,@TheRealKofi @MurdaMookez really did work last night. That was crazy.
158,@jimomal77 @pmarca Yes he does. I think his breadth may be even more impressive than his depth.
159,@4thlettermusic @MurdaMookez He worked him alright! Lux needs to regroup!
160,"@TheRealKofi Yes, sometimes you have to be a little more obvious in battle raps. People don't have time to study the verse."
161,I wrote a new post http://t.co/AVyBhgGPeA
162,@wheatpond the rap lyrics generally inspire the posts.
163,@wheatpond it's a great song too.
164,@jbirk he's a great coach!
165,"@dougvs oh yes. Lash out, withdraw, burst into tears, and, rarely, step up and make the best moves and changes."
166,@mguliner thanks! I wrote a new post btw: http://t.co/AVyBhgGPeA
167,@Johannes_Ernst those darn humans! That is probably a whole other post.
168,@jbirk Good suggestion!
169,"@utekkare I like the ""f you :-)"". If you can't get leverage from them by applying pressure, there is no reason to keep them."
170,"@jiivy @vgr @pmarca ""kush rolled glass full, I prefer the finer things, ni*%$s with no money act like money isn't everything"" @Drake"
171,@vikramrai Thanks!
172,@otisfunkmeyer I had Budden and Mook
173,@b4bendetta @davemcclure @TechCrunch techcrunch picked the graphic without consulting me.
174,@PapaOlabode No doubt!
175,I have annotated Chapter 1 of The Hard Thing About Hard Things with some very rare and embarrassing photos :-). http://t.co/9a25ur4JSP
176,"If you have annotations, we have contest: http://t.co/9a25ur4JSP plus let me know if you'd like me to explain anything and I will."
177,I just decoded “The other day I threw a big barbecue at my house and invited a hundred of my closest ...” @NewsGenius http://t.co/pL7pCXQidu
178,"I just decoded “At this particular barbecue, the conversation turned to the great rapper Nas.” @NewsGenius http://t.co/JM9osOQNFF"
179,I just decoded ““I was passing out communist literature when I was eleven years old. I remember it we...” @NewsGenius http://t.co/LjCcLDAjpI
180,I just decoded “And became editor of the famed New Left magazine Ramparts.” @NewsGenius http://t.co/eGODWGsXti
181,"I just decoded “When my mother dropped me off at nursery school for the first time, I began to cry” @NewsGenius http://t.co/YjQRWli6LB"
182,"I just decoded “Joel Clark Jr. said, “Sure.” When I turned to see what Roger would do, he was gone” @NewsGenius http://t.co/NtpOYSWeVL"
183,"I just decoded “Eighteen years later, he would be the best man at my wedding.” @NewsGenius http://t.co/tnl9enDiQp"
184,I just decoded “Turn your shit in” from “The Hard Thing About Hard Things Chapter 1” @NewsGenius http://t.co/ZNDS2Kax87
185,I just decoded “This guy is a thug. Coming here was a big mistake” @NewsGenius http://t.co/e5HvlmiBcI
186,I just decoded “We have been happily married for nearly twenty-five years and have three wonderful ch...” @NewsGenius http://t.co/2s7X0aNxrb
187,@ppereiramartins You just have to write the annotation.
188,@ishwr You're welcome!
189,@SolfromBrooklyn posting those took much more courage than writing the book :-).
190,"@Sto_ology @newsgenius they would most certainly not, but that doesn't mean they were right. They supported Stalin."
191,@ppereiramartins as your interpretation of the original text.
192,"@Sto_ology @newsgenius Yes, but he was a product the system. With no carrot as motivation for people to work, you are left with the stick."
193,Here is the correct link to the @Genius THAHT contest http://t.co/pSdI1gRh4B
194,@ppereiramartins here is the correct contest description link http://t.co/pSdI1gRh4B
195,@mahbodmoghadam @newsgenius keep that in mind
196,@k_lli I have annotated chapter 1 with photos on @Genius http://t.co/9a25ur4JSP
197,@SteveRio @joebarak @aaronvidas I like the track.
198,@SteveRio @joebarak @aaronvidas He wrote it after reading The Hard Thing About Hard Things. The story is here: http://t.co/3h19gRwuN7
199,"@JoeEmison Yes, we'll start with chapter 1 and see how it goes."
200,@andrewtrabulsi @pmarca Most Universities did not consider Computer Science a legitimate major in 1980. You had to major in EE.
201,Bloomberg on @Genius http://t.co/vEf4WGcfto
202,@mahbodmoghadam @Genius true that
203,"@bhunstable @pmarca @andrewtrabulsi Ada had every language in it, so in that way it was perfect. It did take a long time to compile :)"
204,"I just decoded “""To whoever think their words affect me is too stupid And if you can do it better tha...” @newsgenius http://t.co/Tkb58KllTq"
205,@alextwittau I am glad you liked it!
206,I just decoded “Tristan Walker” from “The Hard Thing About Hard Things Chapter 1” @newsgenius http://t.co/J8fVLI4fvE
207,"@gjschroeder If you don't believe in it, then there's your answer."
208,@Fabwithlupus Thank you for the shout out!
209,@DanielleMorrill I hope you don't mean like a 3 day old burrito.
210,"@typeoh @DanielleMorrill Oh, I know."
211,@elagerway thanks! Chapter 1 is now annotated: http://t.co/9a25ur4JSP
212,This is the most common mistake that I see CEOs make as they scale http://t.co/NxTn4FTIzG
213,"@SolfromBrooklyn ""honesty may not be the best policy, but it's worth trying every once in a while"" -Richard Nixon"
214,@dror_sharon Great to hear it! I annotated chapter 1 of the book at @genius http://t.co/9a25ur4JSP
215,@muratny thanks! I annotated chapter 1 at @genius http://t.co/9a25ur4JSP
216,@web glad that you like it! I annotated chapter 1 by the way: http://t.co/9a25ur4JSP
217,@chied0 here you go: http://t.co/pijP8fuUTN
218,@web 250 to half a mil aint nothing nobody can do with me
219,"@HiveTheory yes, more true in design and management than engineering. That part was for engineers."
220,"@HiveTheory all true, but you are on a bit of a tangent :-). The point was about ""over constraint"" rather than constraint."
221,@SarahKatyal @aronsolomon maybe you'll understand it better now: http://t.co/YY6nzRPkqi
222,@brunobyington @pmarca I said that it was common not universal.
223,@TudorTarlev occasionally I have a new thought :-).
224,@bojansimic Thanks! I annotated chapter 1 on @Genius http://t.co/9a25ur4JSP
225,@TudorTarlev Ah! Also true :-).
226,@adamlyonsw I go 0 to 100 ni*&amp;$a real quick!
227,"@sung_ella The classic method is % of departmental spend vs. revenue. E.g. if Zynga spends x% of revenue on marketing, what do we spend?"
228,@KinnonTopher @ashleymayer let me know what you think!
229,@OguzSerdar Thanks! I annotated Chapter 1 on @Genius http://t.co/9a25ur4JSP
230,@IanElliot2 that works as long as you don't have too much cash. Too much cash is common these days :-).
231,@OberholzerM @sung_ella best is to have your CFO make friends with CFOs of similar private companies and share info.
232,"@VladMkrtumyan @kaykas Indeed, the best defense is a good offense."
233,@mackfogelson now annotated at @Genius including a photo of coach Mendoza: http://t.co/9a25ur4JSP
234,@syedbalkhi I annotated chapter 1 on @Genius http://t.co/9a25ur4JSP
235,@askwheeler Thanks! I annotated chapter 1 on @Genius http://t.co/9a25ur4JSP
236,@syedbalkhi He is an African American Shakespearean actor. My wife picked him due to his flair for the dramatic :-).
237,Congratulations to @Benchmark team @bgurley @mattcohler @peterfenton @mitchlasky on addition @ericvishria -- a great new teammate!
238,@bgurley he will be awesome! Looking forward to working with the expanded team.
239,"@riemannzeta @pmarca @philswenson CEOs need to talk to the people who actually do the work. I.e., the non-managers. Else, spin city."
240,"@philswenson @riemannzeta @pmarca yes, also an excellent idea :-)."
241,"@akarve @pmarca @riemannzeta @philswenson Not if you only listen and don't give direction. If middle managers don't like that, fire them."
242,@adammukaty Glad you liked it! I annotated chapter 1 on @Genius http://t.co/9a25ur4JSP
243,@ZisserZappy Thanks! I annotated chapter 1 on @Genius http://t.co/9a25ur4JSP
244,"@EmmanuelAmber in case you haven't seen it, I annotated chapter 1 on @Genius http://t.co/9a25ur4JSP"
245,@matt_murphy I am glad that you like it. I annotated Chapter 1 on @genius http://t.co/9a25ur4JSP
246,@jakeisthefourth I annotated chapter 1 on @Genius http://t.co/9a25ur4JSP
247,"@earthping Thanks! Btw, I annotated Chapter 1 on @Genius http://t.co/9a25ur4JSP"
248,I added a link to the audio version of my most recent post: http://t.co/NxTn4FTIzG
249,@StuGoulden I annotated chapter 1 on @Genius http://t.co/9a25ur4JSP
250,@coopeteer I annotated Chapter 1 at @Genius http://t.co/9a25ur4JSP
251,@joehas Ha! I annotated chapter 1 on @Genius http://t.co/9a25ur4JSP
252,"@pmarca @BartDessaint @DanielleMorrill I think 100 to 1 at least, but that probably understates it. 30 days to get deployed in the ""cloud."""
253,@Kazanjy @EmmanuelAmber That photo was taken before photoshop existed :-).
254,1/Here are the winners of the @Genius Hard Thing About Hard Things annotation contest:
255,"2/http://t.co/Xb4ZnnTYqI by felorwa (http://t.co/BJsIgSClWb)

http://t.co/Eu4nxk7YV5 by ken mccarthy (http://t.co/AyqZIlmBZB) @KenMcCarthy"
256,3/http://t.co/7Iwk1d8dCs by nightpool (http://t.co/zxTbWPO4RO)
257,@xgarland Bob Pearson
258,@dmitric @pmarca He is Big Tunechi to me.
259,@acevedo @a16z @pmarca http://t.co/r21dPzTcSO
260,"@VaderGirl13 Thanks! Btw, I annotated Chapter 1 on @Genius http://t.co/9a25ur4JSP"
261,@StyleGF @tristanwalker the annotations to that chapter are on @Genius  with photos http://t.co/9a25ur4JSP
262,"@mattkanessurbn Thanks! Btw, I annotated Chapter 1 on @Genius http://t.co/9a25ur4JSP"
263,@VilleKorpinen Thanks! I annotated Chapter 1 on @Genius http://t.co/9a25ur4JSP
264,The @Lytro Illum http://t.co/Y9Cy9Eg7We
265,http://t.co/PhyenWdWHt
266,@StevenEJohnston @kanyewest I was definitely not skeptical. I believe in Yeezus!
267,My partner @Peter_Levine on mobile technology running data centers. What?!?! Yep. http://t.co/gi0mTu4F9I
268,The New Foursquare http://t.co/qXmR6jJIy5
269,My post on the New Foursquare: http://t.co/OV5O2YpcgZ . It's awesome!
270,@darlakbrown Let me know if you feel that way about the new one.
271,@dmfreedom :-). It's a parallel to the quote at the top. Sorry to be cryptic!
272,"@onefingershort @pmarca @cdixon I am pretty sure that we did, but I honestly don't remember."
273,Honored to be on this list @FT http://t.co/VUhfnzCBky
274,@andrebriggs @fredwilson It wasn't a trick. We write posts about the companies we invest in all the time. We are VCs after all :-).
275,@andrebriggs @fredwilson @foursquare I will take that last part as a compliment :-).
276,@dbhurley nope. It has its own dedicated team.
277,"@jamesnord thanks! If you want the backstory, I annotated chapter 1 on @Genius http://t.co/tkw8lySyrR"
278,@Peter_Levine http://t.co/LmtmxmI3VG
279,"@IvanMazour no, that's just what happened to me. I do not recommend it."
280,@sarahmceneaney @pmarca @obvio171 I believe that his actual point followed the em dash :-).
281,Here is the audio version of my last post: https://t.co/46aQcFI0Gk featuring @ChrisLyons  and @4thlettermusic
282,@edebohls @GLIDEsf Glide is the best!
283,@NiamhBushnell Thanks! I annotated chapter 1 if you are interested in the backstory http://t.co/9a25ur4JSP @Genius
284,@DanielNewman sometimes
285,@ebolarin Thanks! I annotated chapter 1 on @Genius if you are interested in the back story: http://t.co/9a25ur4JSP
286,"@iamcoreyevans @BlogsofWarTech I can't speak for the other investors, but we said no such thing to Uber."
287,Really good and accurate piece from @felixsalmon https://t.co/jb9Qt8KDah It's nice to see that someone is paying attention.
288,@grdeken and they don't have no award for that . . .
289,"@JohnWilson @ReformedBroker @felixsalmon yes, but he did identify a few counterpoint articles right up front :-)."
290,I cannot help myself -- too proud. I have to post @FelicaHorowitz 's awesome speech at @GLIDEsf http://t.co/ahksIr0DHx
291,@navarrowwright good to hear from you! @FelicaHorowitz picked the reader
292,@navarrowwright @FelicaHorowitz not this year
293,"@hdarav @jmilinovich Let her know that I used to be 6'4"" tall and good looking."
294,@AllenNance I am here for you bro :-).
295,@philipjbrown no question. Specifically with respect to employee perks.
296,"@ConnorPM no, they are the set of features that lock out the competition if you get them into the customer's criteria."
297,The earthquake and its effect on sleep: http://t.co/TlvQBNLYiK… (by @Jawbone data engineer @eugmandel) http://t.co/XEoNAf46pG
298,"Big Tune (@pmarca) goes in hard on this. My part was not as good, but still worth hearing him. http://t.co/xgImbgvTgN http://t.co/ewCItl5ws0"
299,@Larsluv1 and me at @GLIDEsf https://t.co/mJfaVyE3O0
300,@Lightedstar people who use evolution to justify eugenics are idiots and evil. Evolution is a foundational part of biological science.
301,http://t.co/3vSRQga0sn
302,@mall_gabriel it really just requires some good yac. I recommend Hine Triomphe.
303,@himichlee every last homie
304,@WillGrannis Thanks! I annotated chapter 1 on @genius with photos and other stuff: http://t.co/fEutBEfm00
305,@krmayank Thanks! I annotated chapter 1 on @genius with photos and other stuff: http://t.co/fEutBEfm00
306,http://t.co/er9K2YpSMK
307,"@FloydMayweather @ChrisLyons @john I won't be able to get to vegas for the fight as I'll be in NY, but I will watch it with @SteveStoute."
308,"@TKorostil Misquote. I said: ""the difference between a vision and a hallucination  . . . they call it a vision when other people can see it"
309,My partner @BenedictEvans evans drops serious Amazon knowledge: http://t.co/B5ZqHnC6hv
310,@petersims @davemcclure @a16z @500Startups @pmarca I loved it :-).
311,@kkhire @a16z it's already out. A pointer to it at the end of this post: http://t.co/1QSq9lsj3k
312,@VivekxK My mixtape is already out. Pointer to it at the end of this post: http://t.co/1QSq9lsj3k
313,"@bendpierce The BIG quote that I was appropriate for your deal: Big Poppa smash fools, bash fools Niggas mad because I know that Cash Rules"
314,Go @JaneParkJulep!!! http://t.co/5tHRwoOk6X
315,@blumpk @peterthiel Zero To One is a great book. I learned a lot reading it.
316,"@SethHoskins @balajis no one knows what it means, but it's provocative . . . #ballsohard"
317,"@chrstphr_ I am giant fan, but want to represent properly when I do. It's coming."
318,. @ScottNolan @twitter @SquawkCNBC @peterthiel my rap does not promote the use of marijuana: http://t.co/VDXdx3sP3H
319,@theKen_Miller Rick Rubin is the man.
320,@psygnisfive @ScottNolan @twitter @SquawkCNBC @peterthiel the mixtape and the lyrics are linked at the bottom of the post on @RapGenius.
321,@theKen_Miller I just had dinner with Rick about 3 weeks ago. He came up for the screening that we did of the @Nas movie Time Is Illmatic.
322,"@psygnisfive @RapGenius We were heavily influenced by RunDMC and the Beastie Boys, but we only had a 4 track recorder."
323,@psygnisfive @RapGenius The Dumbo sample is my favorite.
324,@theKen_Miller @QD3 posted some dope photos from that evening: http://t.co/MEQBnZzLrm
325,@theKen_Miller Did you see the panel with me Stoute and @kanyewest ?
326,I agree. This is 3rd time they've done this. They are trying to create a chill. http://t.co/6zhRjkjNR4
327,@Ajperroni I appreciate that!
328,"@kyro Yes, no doubt."
329,@j_venator He is a real inspiration.
330,@samfbiddle a chill on the relationships that you keep attacking me for.
331,@samfbiddle you don't know why you'd write an article based on a misattributed quote? And not correct it? Because you made your point.
332,"@samfbiddle you ridicule me for having diverse friends. You lie to do it. Clearly, you don't want to see that kind of thing in tech."
333,@samfbiddle Whatever. That's why you delete the comments when people point it out. The truth hurts.
334,"@samfbiddle You write racist things. People write comments that point them out. And you delete them, because they are so obviously true."
335,"@samfbiddle how about the one you wrote on our diversity program. That's a good one to start with, since you based it on a lie."
336,@samfbiddle Yeah whatever. Whatever to the truth. Look at your blog's latest target. I know that makes you proud.
337,@samfbiddle The whole point of the post was to make look bad for working on diversity. How is that not racist? And you lied to do it.
338,@samfbiddle it wasn't my quote and I corrected it as soon as I saw it.
339,@samfbiddle Is Divine famous?
340,@samfbiddle Are the kids who attended the diversity event that you attacked me for famous?
341,"@samfbiddle and I'm not going to stop being friends with the 2 famous people that I am friends with, because you don't like it. Get a life."
342,@samfbiddle :-)
343,"@nitashatiku @samfbiddle Sam started the conversation, not me."
344,@samfbiddle @nitashatiku your uncle sounds like a fantastic guy.
345,"@nitashatiku @blam @samfbiddle what are you talking about? Why don't you call those people and ask them? Oh, that would be journalism."
346,@samfbiddle @nitashatiku @blam I just wish one of you would check one fact one time.
347,@samfbiddle @blam @nitashatiku I am so sorry to keep hurting your sensibilities.
348,"@nitashatiku @samfbiddle @blam did you call Nas or anyone who knows him to figure out if we were friends or ""fake friends?"""
349,@SG @samfbiddle @blam @nitashatiku Thank you.
350,@rivveting @nitashatiku @samfbiddle @blam yes if it was actually a title or if he actually worked for a16z.
351,"@nitashatiku @samfbiddle @blam and when the New Yorker corrected the quote, you left the article based on it up. Who is disingenuous?"
352,@nitashatiku @rivveting @samfbiddle @blam Did you get a reply that said he was?
353,"@nitashatiku @rivveting @samfbiddle @blam So you wrote the story any way. OK. I will answer it: no, he is not."
354,@nitashatiku @rivveting @samfbiddle @blam He is our official rapper in the same way that you are my official antagonist :-).
355,@rivveting @nitashatiku @samfbiddle @blam why get snarky with a guy who just got out of jail and got his first positive PR. Who does that?
356,@RolfDjernaes @lesternare @samfbiddle @blam @nitashatiku Good question. And what would the purpose of fake be?
